LON,LAT,PLOTID,SAMPLEID,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
100.1745060144833,20.617279001591346,3,3,1,1,2002,1,1,0,1,1
101.87582533107727,19.639552646355657,4,4,1,1,2011,1,1,0,1,1
101.8084516847683,19.205396869540692,7,7,1,1,2015,1,1,0,1,1
102.51479699267148,19.599936942325986,11,11,1,1,0,1,1,0,1,1
100.62779590685001,20.04864542674369,14,14,1,1,2003,1,1,0,1,1
102.77135583781602,19.877516365118918,15,15,1,1,2008,1,1,0,1,1
101.3206664854914,17.928801019278442,17,17,1,1,2015,1,1,0,1,1
100.85497984220383,21.159232612500652,18,18,1,1,0,1,1,0,1,1
103.13490403329918,20.67818477785465,19,19,1,1,0,1,1,0,1,1
102.37385132459312,20.588712575556343,20,20,1,1,0,1,1,0,1,1
101.71062515032769,19.88209777306793,21,21,1,1,0,1,1,0,1,1
101.41445060115348,19.0280694324555,24,24,1,1,0,1,1,0,1,1
103.22060331140419,20.753104272550218,29,29,1,1,0,1,1,0,1,1
101.01074771247016,21.322546331153582,33,33,1,1,2004,1,1,0,1,1
101.54407749665192,20.952530265624752,36,36,1,1,0,1,1,0,1,1
102.67918868966535,20.156712755423268,37,37,1,1,0,1,1,0,1,1
104.88607984816177,20.088530625358594,38,38,1,1,0,1,1,0,1,1
102.58836901444087,20.43213622153431,39,39,1,1,0,1,1,0,1,1
104.27567461260256,20.764962034300595,41,41,1,1,2015,1,1,0,1,1
101.17783435531639,21.00723766642763,48,48,1,1,0,1,1,0,1,1
102.27952821976058,20.62617232290413,49,49,1,1,2010,1,1,0,1,1
100.29038868613472,20.55125282820856,51,51,1,1,0,1,1,0,1,1
101.46269013191069,18.66047881819379,52,52,1,1,0,1,1,0,1,1
101.21286865139706,21.021251384859895,53,53,1,1,0,1,1,0,1,1
104.01857677828755,20.234327195971193,54,54,1,1,0,1,1,0,1,1
101.41930150368772,19.2700755699973,55,55,1,1,0,1,1,0,1,1
104.06573833070384,20.594910951016768,56,56,1,1,0,1,1,0,1,1
100.79245709842911,20.56149362244752,59,59,1,1,0,1,1,0,1,1
104.22123670638491,20.53831708811724,60,60,1,1,0,1,1,0,1,1
104.78798381913593,20.08772214160289,62,62,1,1,2015,1,1,0,1,1
100.15914482312486,20.432675210704783,63,63,1,1,0,1,1,0,1,1
103.12062082028169,20.369343983174357,64,64,1,1,2015,1,1,0,1,1
104.1624868868035,20.65985914605861,65,65,1,1,0,1,1,0,1,1
101.46592406693352,18.838614739034693,66,66,1,1,0,1,1,0,1,1
101.15196287513375,21.47292430971519,68,68,1,1,0,1,1,0,1,1
101.0921350772114,18.41416076728822,70,70,1,1,0,1,1,0,1,1
101.09887244184229,17.78704686744438,71,71,1,1,2002,1,1,0,1,1
101.22014500519842,18.58663730183917,74,74,1,1,0,1,1,0,1,1
101.84725890504227,19.209169793733995,76,76,1,1,2014,1,1,0,1,1
104.34250926974106,20.755799218402576,79,79,1,1,0,1,1,0,1,1
102.2992013244828,19.40670932471188,81,81,1,1,0,1,1,0,1,1
100.44373110513392,20.58305318926639,82,82,1,1,2007,1,1,0,1,2
102.89397587409833,20.98379163751211,83,83,1,1,0,1,1,0,1,1
101.4769733449282,18.841848674057523,85,85,1,1,0,1,1,0,1,1
101.89657641414043,19.496181527010183,86,86,1,1,0,1,1,0,1,1
101.09887244184229,20.159677195860862,87,87,1,1,2014,1,1,0,1,2
100.76119572654176,20.83422214270621,89,89,1,1,0,1,1,0,1,1
104.65458399944417,19.74788946962047,90,90,1,1,0,1,1,0,1,1
101.43035078168239,21.189685500632304,91,91,1,1,2000,1,1,0,1,1
103.36963381703961,20.325416365780914,92,92,1,1,0,1,1,0,1,1
100.94499103367261,20.44722791830752,93,93,1,1,2013,1,1,0,1,1
102.71476197491648,19.603170877348816,102,102,1,1,0,1,1,0,1,1
103.57202425055173,20.35748622142398,104,104,1,1,0,1,1,0,1,1
101.45379681059791,19.365207158585555,105,105,1,1,2015,1,1,0,1,1
101.01667659334535,19.933301744262742,112,112,1,1,0,1,1,0,1,1
102.2496143207994,20.855512214939843,113,113,1,1,0,1,1,0,1,1
101.02583940924337,20.8258678105639,114,114,1,1,2011,1,1,0,1,2
101.76748850781244,19.423956978166974,116,116,1,1,2001,1,1,0,1,1
101.85561323718457,19.82873784519123,118,118,1,1,0,1,1,0,1,1
101.23496720738639,19.696416003840422,119,119,1,1,0,1,1,0,1,1
101.84133002416706,20.547749398600494,120,120,1,1,0,1,1,0,1,1
101.75131883269829,18.76854614687337,122,122,1,1,0,1,1,0,1,1
102.72203832871784,20.986217088779235,123,123,1,1,0,1,1,0,1,1
104.91680223087866,20.078289831119633,128,128,1,1,2015,1,1,0,1,1
101.48371070955909,20.95010481435763,132,132,1,1,0,1,1,0,1,1
102.4113110719409,20.043794524209442,135,135,1,1,0,1,1,0,1,1
101.59689843535816,19.866736581709485,137,137,1,1,0,1,1,0,1,1
101.39828092603932,19.048551020933424,139,139,1,1,0,1,1,0,1,1
100.89190060038115,20.398718892965064,141,141,1,1,2015,1,1,0,1,1
104.49719916166643,19.634701743821413,143,143,1,1,0,1,1,0,1,1
100.7442175676719,20.62805878500078,147,147,1,1,2015,1,1,0,1,1
102.17577280444478,20.246454452306807,148,148,1,1,0,1,1,0,1,1
101.42765583583004,19.98800914506562,149,149,1,1,0,1,1,0,1,1
103.20362515253433,20.142968531576237,150,150,1,1,0,1,1,0,1,1
