LON,LAT,PLOTID,SAMPLEID,frel_change0510,frel_change1015,coded_2000_2010,coded_2009_2015,coded_last_change,coded_updated_2010_2015,coded_updated_2005_2010,fcdm,ccdc_2005_2010,ccdc_2010_2015
104.6141825,20.10865902,296,296,44,44,1,1,0,1,1,0,1,1
100.787655,20.92070422,310,310,22,22,1,1,0,1,1,0,1,1
102.2846125,20.79457566,311,311,22,22,1,1,0,1,1,0,1,1
100.8958387,19.77427736,313,313,22,22,1,1,0,1,1,0,1,1
102.4368641,19.89677485,315,315,22,22,1,1,0,1,1,0,1,1
101.7581276,19.5361322,316,316,22,22,1,1,0,1,1,0,1,1
101.3957188,20.58953777,318,318,22,22,1,1,0,1,1,0,1,1
101.5534855,20.98446972,320,320,44,44,1,1,0,1,1,0,1,1
104.7822719,20.16994288,322,322,22,22,1,1,0,1,1,0,1,1
101.6462161,19.50647112,326,326,22,22,1,1,0,1,1,0,1,1
101.3079042,18.98504357,329,329,11,11,1,1,0,1,1,0,1,1
103.0172857,21.02977153,331,331,22,22,1,1,0,1,1,0,1,1
101.2045304,18.11708917,332,332,45,55,1,1,0,1,1,0,1,1
103.5963655,20.64528027,333,333,44,44,1,1,0,1,1,0,1,1
103.7015013,20.64014062,334,334,22,22,1,1,0,1,1,0,1,1
103.8836245,20.85472177,340,340,22,22,1,1,0,1,1,0,1,1
101.2484454,20.62916441,347,347,11,11,1,1,0,1,1,0,1,1
102.3532458,19.53175236,348,348,44,44,1,1,0,1,1,0,1,1
102.6746578,19.71418242,351,351,22,22,1,1,0,1,1,0,1,1
102.1908883,20.08996776,362,362,22,22,1,1,0,1,1,0,1,1
100.6457587,20.2422666,363,363,11,11,1,1,0,1,1,0,1,1
103.1761487,19.94870983,366,366,22,22,1,1,0,1,1,0,1,1
103.5792595,20.47141638,367,367,22,22,1,1,0,1,1,0,1,1
102.5905381,20.24244203,380,380,22,22,1,1,0,1,1,0,1,1
101.8334354,19.90357335,386,386,44,44,1,1,0,1,1,0,1,1
100.9469394,20.79009523,390,390,22,22,1,1,0,1,1,0,1,1
101.4432159,19.15147897,392,392,22,22,1,1,0,1,1,0,1,1
104.2044674,20.03409609,394,394,22,22,1,1,0,1,1,0,1,1
101.3589828,19.62191013,404,404,22,22,1,1,0,1,1,0,1,1
100.9782778,17.59453115,408,408,22,22,1,1,0,1,1,0,1,1
102.0322179,20.1428875,410,410,44,44,1,1,0,1,1,0,1,1
101.5242576,19.46843116,412,412,11,11,1,1,0,1,1,0,1,1
103.9234432,20.40043435,424,424,22,22,1,1,0,1,1,0,1,1
101.0356119,20.86495752,426,426,22,22,1,1,0,1,1,0,1,1
101.4201499,19.20381853,429,429,22,22,1,1,0,1,1,0,1,1
101.5232382,20.73345768,430,430,22,22,1,1,0,1,1,0,1,1
101.8827889,19.79531553,437,437,22,22,1,1,0,1,1,0,1,1
101.3211658,21.04402033,438,438,11,11,1,1,0,1,1,0,1,1
101.3921402,19.18161271,447,447,22,22,1,1,0,1,1,0,1,1
101.6606285,21.06592859,454,454,44,44,1,1,0,1,1,0,1,1
101.4986208,20.26031409,455,455,22,22,1,1,0,1,1,0,1,1
103.6917498,20.63573056,458,458,22,22,1,1,0,1,1,0,1,1
