post_strat_coded,strata_coded,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out_v1,strata_out_v2,svk_forests,plot_id
143,103,2018,111,100,100,141,141,1,139378069
144,104,2017,111,100,100,141,141,1,139378070
143,103,2015,111,100,100,141,141,1,139378071
211,200,0,211,200,200,211,211,2,139377972
211,200,0,211,200,200,211,211,2,139377973
211,200,0,211,200,200,211,211,2,139377974
211,200,0,211,200,200,211,211,2,139377975
211,200,0,211,200,200,211,211,2,139377976
211,200,0,211,200,200,211,211,2,139377977
211,200,0,211,200,200,211,211,2,139377978
211,200,0,211,200,200,211,211,2,139377979
211,200,0,211,200,200,211,211,2,139377980
211,200,0,211,200,200,211,211,2,139377981
221,200,0,200,222,200,221,221,2,139377982
221,200,0,200,222,200,221,221,2,139377983
221,200,0,200,222,200,221,221,2,139377984
221,200,0,200,222,200,221,221,2,139377985
221,200,0,200,212,200,221,221,2,139377986
221,200,0,200,222,200,221,221,2,139377987
221,200,0,200,222,200,221,221,2,139377988
221,200,0,200,222,200,221,221,2,139377989
221,200,0,200,222,200,221,221,2,139377990
221,200,0,200,222,200,221,221,2,139377991
231,204,2017,200,200,200,231,231,2,139377992
231,204,2018,200,200,200,231,231,2,139377993
231,204,2018,200,200,200,231,231,2,139377994
231,204,2019,200,200,200,231,231,2,139377995
231,204,2019,200,200,200,231,231,2,139377996
231,204,2017,200,200,200,231,231,2,139377997
231,204,2017,200,200,200,231,231,2,139377998
231,204,2019,200,200,200,231,231,2,139377999
231,204,2018,200,200,200,231,231,2,139378000
231,204,2019,200,200,200,231,231,2,139378001
244,204,2018,211,200,200,241,241,2,139378002
244,204,2019,211,200,200,241,241,2,139378003
244,204,2019,211,200,200,241,241,2,139378004
244,204,2019,211,200,200,241,241,2,139378005
244,204,2019,211,200,200,241,241,2,139378006
244,204,2019,211,200,200,241,241,2,139378007
244,204,2018,211,200,200,241,241,2,139378008
243,203,2018,211,200,200,241,241,2,139378009
244,204,2017,211,200,200,241,241,2,139378010
244,204,2017,211,200,200,241,241,2,139378011
244,204,2018,211,200,200,241,241,2,139378012
244,204,2018,211,200,200,241,241,2,139378013
244,204,2018,211,200,200,241,241,2,139378014
244,204,2017,211,200,200,241,241,2,139378015
243,203,2015,211,200,200,241,241,2,139378016
244,204,2019,211,200,200,241,241,2,139378017
244,204,2018,211,200,200,241,241,2,139378018
244,204,2015,211,200,200,241,241,2,139378019
244,204,2018,211,200,200,241,241,2,139378020
244,204,2015,211,200,200,241,241,2,139378021
300,300,0,300,300,300,300,300,3,139430105
300,300,0,300,300,300,300,300,3,139430106
300,300,0,300,300,300,300,300,3,139430107
300,300,0,300,300,300,300,300,3,139430108
300,300,0,300,300,300,300,300,3,139430109
300,300,0,300,300,300,300,300,3,139430110
300,300,0,300,300,300,300,300,3,139430111
300,300,0,300,300,300,300,300,3,139430112
300,300,0,300,300,300,300,300,3,139430113
300,300,0,300,300,300,300,300,3,139430114
300,300,0,300,300,300,300,300,3,139430115
300,300,0,300,300,300,300,300,3,139430116
300,300,0,300,300,300,300,300,3,139430117
300,300,0,300,300,300,300,300,3,139430118
300,300,2019,300,300,300,300,300,3,139430119
200,200,0,200,200,200,200,200,2,139430120
200,200,0,200,200,200,200,200,2,139430121
200,200,0,200,200,200,200,200,2,139430122
200,200,0,200,200,200,200,200,2,139430123
200,200,0,200,200,200,200,200,2,139430124
200,200,0,200,200,200,200,200,2,139430125
200,200,0,200,200,200,200,200,2,139430126
200,200,0,200,200,200,200,200,2,139430127
200,200,0,200,200,200,200,200,2,139430128
200,200,0,200,200,200,200,200,2,139430129
200,200,0,200,200,200,200,200,2,139430130
200,200,0,200,200,200,200,200,2,139430131
200,200,0,200,200,200,200,200,2,139430132
200,200,0,200,200,200,200,200,2,139430133
200,200,0,200,200,200,200,200,2,139430134
100,100,0,100,100,100,100,100,1,139430135
100,100,0,100,100,100,100,100,1,139430136
100,100,0,100,100,100,100,100,1,139430137
100,100,0,100,100,100,100,100,1,139430138
100,100,0,100,100,100,100,100,1,139430139
100,100,0,100,100,100,100,100,1,139430140
100,100,0,100,100,100,100,100,1,139430141
100,100,0,100,100,100,100,100,1,139430142
100,100,0,100,100,100,100,100,1,139430143
100,100,0,100,100,100,100,100,1,139430144
100,100,0,100,100,100,100,100,1,139430145
100,100,0,100,100,100,100,100,1,139430146
100,100,0,100,100,100,100,100,1,139430147
100,100,0,100,100,100,100,100,1,139430148
100,100,0,100,100,100,100,100,1,139430149
