strata_coded,strata_coded_v2,strata_coded_year,strata_fcdm,strata_frel_2015,strata_frel_2019,strata_out,svk_forests,plot_id
200,251,0,251,200,200,251,200,140738404
200,251,0,251,200,200,251,200,140738405
251,251,251,200,200,200,251,200,140738406
200,251,0,251,200,200,251,200,140738407
200,251,0,251,200,200,251,200,140738408
200,251,0,251,200,200,251,200,140738409
200,251,0,251,200,200,251,200,140738410
200,251,0,251,200,200,251,200,140738411
200,251,0,251,200,200,251,200,140738412
200,251,0,251,200,200,251,200,140738413
200,251,0,251,200,200,251,200,140738414
200,251,2017,251,200,200,251,200,140738415
200,251,0,251,200,200,251,200,140738416
200,251,0,251,200,200,251,200,140738417
303,333,2017,300,300,300,331,300,140738418
303,333,2017,300,300,300,331,300,140738419
303,333,2019,300,300,300,331,300,140738420
303,333,2015,300,300,300,331,300,140738421
303,333,2019,300,300,300,331,300,140738422
303,333,2019,300,300,300,331,300,140738423
303,333,2016,300,300,300,331,300,140738424
303,333,2019,300,300,300,331,300,140738425
303,333,2019,300,300,300,331,300,140738426
303,333,2019,300,300,300,331,300,140738427
303,333,2015,300,300,300,331,300,140738428
303,333,2015,300,300,300,331,300,140738429
303,333,2019,300,300,300,331,300,140738430
303,333,2017,300,300,300,331,300,140738431
303,333,2017,300,300,300,331,300,140738432
104,141,2015,111,100,100,141,100,139378062
104,141,2019,111,100,100,141,100,139378063
104,141,2017,111,100,100,141,100,139378064
104,141,2016,111,100,100,141,100,139378065
103,141,2017,111,100,100,141,100,139378066
103,141,2017,111,100,100,141,100,139378067
104,141,2019,111,100,100,141,100,139378068
103,141,2018,111,100,100,141,100,139378069
104,141,2017,111,100,100,141,100,139378070
103,141,2015,111,100,100,141,100,139378071
200,211,0,211,200,200,211,200,139377972
200,211,0,211,200,200,211,200,139377973
200,211,0,211,200,200,211,200,139377974
200,211,0,211,200,200,211,200,139377975
200,211,0,211,200,200,211,200,139377976
200,211,0,211,200,200,211,200,139377977
200,211,0,211,200,200,211,200,139377978
200,211,0,211,200,200,211,200,139377979
200,211,0,211,200,200,211,200,139377980
200,211,0,211,200,200,211,200,139377981
200,221,0,200,222,200,221,200,139377982
200,221,0,200,222,200,221,200,139377983
200,221,0,200,222,200,221,200,139377984
200,221,0,200,222,200,221,200,139377985
200,221,0,200,212,200,221,200,139377986
200,221,0,200,222,200,221,200,139377987
200,221,0,200,222,200,221,200,139377988
200,221,0,200,222,200,221,200,139377989
200,221,0,200,222,200,221,200,139377990
200,221,0,200,222,200,221,200,139377991
204,231,2017,200,200,200,231,200,139377992
204,231,2018,200,200,200,231,200,139377993
204,231,2018,200,200,200,231,200,139377994
204,231,2019,200,200,200,231,200,139377995
204,231,2019,200,200,200,231,200,139377996
204,231,2017,200,200,200,231,200,139377997
204,231,2017,200,200,200,231,200,139377998
204,231,2019,200,200,200,231,200,139377999
204,231,2018,200,200,200,231,200,139378000
204,231,2019,200,200,200,231,200,139378001
204,241,2018,211,200,200,241,200,139378002
204,241,2019,211,200,200,241,200,139378003
204,241,2019,211,200,200,241,200,139378004
204,241,2019,211,200,200,241,200,139378005
204,241,2019,211,200,200,241,200,139378006
204,241,2019,211,200,200,241,200,139378007
204,241,2018,211,200,200,241,200,139378008
203,241,2018,211,200,200,241,200,139378009
204,241,2017,211,200,200,241,200,139378010
204,241,2017,211,200,200,241,200,139378011
204,241,2018,211,200,200,241,200,139378012
204,241,2018,211,200,200,241,200,139378013
204,241,2018,211,200,200,241,200,139378014
204,241,2017,211,200,200,241,200,139378015
203,241,2015,211,200,200,241,200,139378016
204,241,2019,211,200,200,241,200,139378017
204,241,2018,211,200,200,241,200,139378018
204,241,2015,211,200,200,241,200,139378019
204,241,2018,211,200,200,241,200,139378020
204,241,2015,211,200,200,241,200,139378021
300,300,0,300,300,300,300,300,139430105
300,300,0,300,300,300,300,300,139430106
300,300,0,300,300,300,300,300,139430107
300,300,0,300,300,300,300,300,139430108
300,300,0,300,300,300,300,300,139430109
300,300,0,300,300,300,300,300,139430110
300,300,0,300,300,300,300,300,139430111
300,300,0,300,300,300,300,300,139430112
300,300,0,300,300,300,300,300,139430113
300,300,0,300,300,300,300,300,139430114
300,300,0,300,300,300,300,300,139430115
300,300,0,300,300,300,300,300,139430116
300,300,0,300,300,300,300,300,139430117
300,300,0,300,300,300,300,300,139430118
300,300,2019,300,300,300,300,300,139430119
200,200,0,200,200,200,200,200,139430120
200,200,0,200,200,200,200,200,139430121
200,200,0,200,200,200,200,200,139430122
200,200,0,200,200,200,200,200,139430123
200,200,0,200,200,200,200,200,139430124
200,200,0,200,200,200,200,200,139430125
200,200,0,200,200,200,200,200,139430126
200,200,0,200,200,200,200,200,139430127
200,200,0,200,200,200,200,200,139430128
200,200,0,200,200,200,200,200,139430129
200,200,0,200,200,200,200,200,139430130
200,200,0,200,200,200,200,200,139430131
200,200,0,200,200,200,200,200,139430132
200,200,0,200,200,200,200,200,139430133
200,200,0,200,200,200,200,200,139430134
100,100,0,100,100,100,100,100,139430135
100,100,0,100,100,100,100,100,139430136
100,100,0,100,100,100,100,100,139430137
100,100,0,100,100,100,100,100,139430138
100,100,0,100,100,100,100,100,139430139
100,100,0,100,100,100,100,100,139430140
100,100,0,100,100,100,100,100,139430141
100,100,0,100,100,100,100,100,139430142
100,100,0,100,100,100,100,100,139430143
100,100,0,100,100,100,100,100,139430144
100,100,0,100,100,100,100,100,139430145
100,100,0,100,100,100,100,100,139430146
100,100,0,100,100,100,100,100,139430147
100,100,0,100,100,100,100,100,139430148
100,100,0,100,100,100,100,100,139430149
