plot_id,lon,lat
140738328,106.5089762,16.19056094
140738329,105.7301369,16.57135679
140738330,106.3168266,16.57459073
140738331,106.1456975,16.65112719
140738332,106.5078983,16.22505625
140738333,106.1438111,16.85324813
140738334,105.5016055,16.94891871
140738335,106.5935975,16.20538315
140738336,106.2782889,16.56704488
140738337,105.5740995,16.23529705
140738338,105.475734,16.96320192
140738339,106.6391421,16.31479795
140738340,106.4884947,16.22397827
140738341,106.6240504,16.35279668
140738342,105.6727345,16.76970481
140738343,106.4849912,16.22882918
140738344,105.700223,16.7252382
140738345,106.2966145,16.56812286
140738346,105.8629977,17.01790932
140738347,105.9473495,16.06605445
140738348,106.348088,16.36734939
140738349,106.321408,16.56920084
140738350,106.2629277,16.49859326
140738351,106.2553818,16.44092141
140738352,106.2887992,16.5807891
140738353,106.2960755,16.57755517
140738354,106.4887641,16.22370878
140738355,106.3300318,16.61151149
140738356,105.8322753,17.02788062
140738357,106.2882602,16.42744668
140738358,106.6345607,16.54764127
140738359,106.3149401,16.75865553
140738360,106.5273019,16.73359253
140738361,106.1015004,16.62390824
140738362,105.9527394,16.68319705
140738363,105.3188882,16.55922954
140738364,106.5472445,16.43041113
140738365,106.5399681,16.24284289
140738366,106.5391596,16.30428766
140738367,105.2003105,16.3021317
140738368,106.4874167,16.29862827
140738369,106.2634667,16.45709109
140738370,106.5701515,16.36869687
140738371,106.5084373,16.5064086
140738372,105.9055779,16.70394813
140738373,106.3688391,16.69936672
140738374,104.9178802,17.03677394
140738375,106.4971185,16.35144921
140738376,106.5211035,16.52473423
140738377,106.2251984,16.75272665
140738378,105.9963975,16.89609777
140738379,106.4523824,16.66864434
140738380,105.901266,16.58510102
140738381,106.5628752,16.2873095
140738382,106.6280928,16.57243477
140738383,106.1071598,16.41801437
140738384,105.0852363,16.46301997
140738385,105.9530089,16.68211907
140738386,106.4709775,16.5064086
140738387,105.0485851,16.32557773
140738388,105.2242956,16.05689163
140738389,105.2342669,16.89070788
140738390,105.5226261,16.34552033
140738391,105.6662667,16.26386347
140738392,105.8670401,16.17142683
140738393,105.773256,16.66460192
140738394,105.8357788,16.40723459
140738395,105.6913297,15.92564777
140738396,105.6538699,15.9439734
140738397,104.8399963,16.92682015
140738398,105.6161407,16.73628748
140738399,104.9585739,16.5511447
140738400,105.7953546,16.67106979
140738401,104.8475421,16.72658567
140738402,105.9023439,16.18085914
140738403,105.7371437,16.41531943
140738404,105.4199486,16.22155282
140738405,104.8742221,16.99015138
140738406,105.0030405,16.88612647
140738407,105.6350053,15.99221293
140738408,105.5924252,16.38729199
140738409,105.4293809,16.85217015
140738410,105.1485676,17.00335661
140738411,105.6118288,16.67726817
140738412,104.9879488,16.29162141
140738413,105.8398212,16.43634001
140738414,105.4789679,16.34336437
140738415,105.974838,16.15390968
140738416,105.8931811,16.67026131
140738417,105.7565474,16.45493513
140738418,105.1216181,16.73251456
140738419,105.0822719,16.26574993
140738420,105.0820024,16.53740048
140738421,105.2140548,17.04809271
140738422,104.9410567,16.9941938
140738423,105.1380573,16.58833495
140738424,105.2105513,16.49023892
140738425,105.8317363,16.04206943
140738426,104.9119513,16.99931419
140738427,105.8047869,16.04799831
140738428,105.1105688,17.07396419
140738429,105.1747085,16.78156257
140738430,105.6045524,16.00622665
140738431,105.0682582,16.45116221
140738432,105.1518015,16.74787575
140738433,104.8669457,16.51584091
140738434,104.8281385,16.69748026
140738435,105.9047694,16.01781492
140738436,105.0483156,16.33878297
140738437,105.1097604,16.71688387
140738438,105.251245,16.66190697
140738439,105.2345363,16.32935066
140738440,106.4275889,16.14501636
140738441,104.7685802,16.83896492
140738442,104.8332589,16.68993441
140738443,105.204353,16.4366095
140738444,105.9198611,16.51476293
140738445,105.1512625,16.3819021
140738446,105.0480461,16.92870661
140738447,104.9192277,16.71984831
139342225,105.3741345,16.74059939
139342226,105.9384562,16.37543423
139342227,105.2878963,16.84543279
139342228,105.3183492,16.51018152
139342229,105.8336228,16.52446474
139342230,105.6209916,16.15444867
139342231,106.0352048,16.30401816
139342232,105.1059874,16.82117827
139342233,105.3954246,16.70906853
139342234,105.1615033,17.06695734
139342235,105.5899997,16.02320481
139342236,105.7463066,16.70260066
139342237,105.7473845,16.70125318
139342238,105.772717,17.04970968
139342239,105.7686746,16.4762252
139342240,105.8770114,16.7702438
139342241,105.5843403,16.21616293
139342242,105.7689441,16.4764947
139342243,105.4684576,16.35737809
139342244,105.5897302,16.02293531
139342245,105.4388132,16.84651076
139342246,105.0008845,16.71391943
139342247,105.5568519,16.06282051
139342248,105.1639288,16.86402791
139342249,105.2463941,16.73305354
139342250,105.003849,17.01817882
139342251,105.2490891,16.05743062
139342252,105.1162282,16.20646113
139342253,104.8852714,16.67187827
139342254,105.2577129,16.26305499
