LON,LAT,PLOTID,ERPD_LON,ERPD_LAT
101.2957311,19.58075971,0,101.2957311,19.58075971
104.2738995,19.88287563,1,104.2738995,19.88287563
102.4655111,19.68361048,2,102.4655111,19.68361048
100.1744869,20.61719668,3,100.1744869,20.61719668
101.8759075,19.63943916,4,101.8759075,19.63943916
101.3858184,20.40453737,5,101.3858184,20.40453737
103.0413608,20.7406702,6,103.0413608,20.7406702
101.8083777,19.20552035,7,101.8083777,19.20552035
100.6660643,19.80023936,8,100.6660643,19.80023936
102.3819821,19.95675871,9,102.3819821,19.95675871
101.5317278,19.99203702,10,101.5317278,19.99203702
102.5148715,19.59981899,11,102.5148715,19.59981899
101.5452033,19.09914543,12,101.5452033,19.09914543
103.1058402,20.2326302,13,103.1058402,20.2326302
100.6277295,20.04868756,14,100.6277295,20.04868756
102.7714472,19.87764803,15,102.7714472,19.87764803
104.3199073,19.73564993,16,104.3199073,19.73564993
101.3207804,17.92877292,17,101.3207804,17.92877292
100.8550583,21.15913535,18,100.8550583,21.15913535
103.134787,20.67825364,19,103.134787,20.67825364
102.3739448,20.58881227,20,102.3739448,20.58881227
101.7105539,19.88204224,21,101.7105539,19.88204224
104.4804741,20.633913,22,104.4804741,20.633913
103.9736363,19.89923448,23,103.9736363,19.89923448
101.4144821,19.02793718,24,101.4144821,19.02793718
101.23754,18.30787022,25,101.23754,18.30787022
101.039818,21.21002942,26,101.039818,21.21002942
100.5594626,20.32307622,27,100.5594626,20.32307622
104.2959435,20.72753966,28,104.2959435,20.72753966
103.2207139,20.75301737,29,103.2207139,20.75301737
101.391993,20.25515025,30,101.391993,20.25515025
101.2846696,18.44106119,31,101.2846696,18.44106119
102.1511599,19.59943946,32,102.1511599,19.59943946
101.010703,21.32243565,33,101.010703,21.32243565
100.7465892,19.93584803,34,100.7465892,19.93584803
101.9473959,20.77064114,35,101.9473959,20.77064114
101.5440525,20.95266034,36,101.5440525,20.95266034
102.6792327,20.15667481,37,102.6792327,20.15667481
104.8861912,20.08847762,38,104.8861912,20.08847762
102.5884875,20.43203573,39,102.5884875,20.43203573
104.3030116,20.326664,40,104.3030116,20.326664
104.2756398,20.76486808,41,104.2756398,20.76486808
101.3659416,20.81041303,42,101.3659416,20.81041303
104.3820032,20.61559317,43,104.3820032,20.61559317
101.4860744,19.98128441,44,101.4860744,19.98128441
101.8749499,20.53871938,45,101.8749499,20.53871938
101.1181247,17.57080519,46,101.1181247,17.57080519
104.3656496,20.65949059,47,104.3656496,20.65949059
101.1778758,21.00723572,48,101.1778758,21.00723572
102.2796133,20.62609271,49,102.2796133,20.62609271
100.9520201,20.06098255,50,100.9520201,20.06098255
100.2905107,20.55127727,51,100.2905107,20.55127727
101.462613,18.66059869,52,101.462613,18.66059869
101.2128499,21.02138187,53,101.2128499,21.02138187
104.0186048,20.23432456,54,104.0186048,20.23432456
101.4193294,19.27009354,55,101.4193294,19.27009354
104.0656744,20.59485227,56,104.0656744,20.59485227
101.1212952,20.1532058,57,101.1212952,20.1532058
102.0112912,19.90906907,58,102.0112912,19.90906907
100.7923249,20.56148939,59,100.7923249,20.56148939
104.2212231,20.53841211,60,104.2212231,20.53841211
104.4131256,20.69376199,61,104.4131256,20.69376199
104.7880145,20.08777675,62,104.7880145,20.08777675
100.1591534,20.43258532,63,100.1591534,20.43258532
103.1206409,20.36924143,64,103.1206409,20.36924143
104.162561,20.65980478,65,104.162561,20.65980478
101.4658437,18.83861928,66,101.4658437,18.83861928
100.904981,20.68861145,67,100.904981,20.68861145
101.1518519,21.4729271,68,101.1518519,21.4729271
101.7766396,19.9394879,69,101.7766396,19.9394879
101.0921472,18.41406798,70,101.0921472,18.41406798
101.0988539,17.78695396,71,101.0988539,17.78695396
103.6674169,20.28614758,72,103.6674169,20.28614758
104.9413266,20.11943928,73,104.9413266,20.11943928
101.2201831,18.58670442,74,101.2201831,18.58670442
101.9448177,21.06319118,75,101.9448177,21.06319118
101.8471583,19.20916836,76,101.8471583,19.20916836
101.1833264,21.16079319,77,101.1833264,21.16079319
102.0887923,19.3558296,78,102.0887923,19.3558296
104.3423827,20.75585977,79,104.3423827,20.75585977
102.2178236,19.55685368,80,102.2178236,19.55685368
102.299097,19.40672458,81,102.299097,19.40672458
100.4436469,20.58311038,82,100.4436469,20.58311038
102.8939583,20.98390727,83,102.8939583,20.98390727
101.131425,17.54651819,84,101.131425,17.54651819
101.4770076,18.841921,85,101.4770076,18.841921
101.8965709,19.49618017,86,101.8965709,19.49618017
101.0989159,20.15966692,87,101.0989159,20.15966692
100.5718134,20.28113583,88,100.5718134,20.28113583
100.7611852,20.83429202,89,100.7611852,20.83429202
104.6546244,19.7478794,90,104.6546244,19.7478794
101.430484,21.18956625,91,101.430484,21.18956625
103.3697504,20.32529844,92,103.3697504,20.32529844
100.9450036,20.4472021,93,100.9450036,20.4472021
104.0608195,20.85486006,94,104.0608195,20.85486006
102.4604116,20.32645633,95,102.4604116,20.32645633
104.4834557,19.89377341,96,104.4834557,19.89377341
104.5487046,19.90010677,97,104.5487046,19.90010677
101.60946,19.43251112,98,101.60946,19.43251112
104.0499161,19.95862434,99,104.0499161,19.95862434
102.2183694,19.97730188,100,102.2183694,19.97730188
101.3556908,17.80377072,101,101.3556908,17.80377072
102.7146863,19.60306159,102,102.7146863,19.60306159
104.4168179,20.67463044,103,104.4168179,20.67463044
103.5719068,20.35749516,104,103.5719068,20.35749516
101.4538383,19.36525748,105,101.4538383,19.36525748
102.4990729,20.28826183,106,102.4990729,20.28826183
103.4749712,19.97166738,107,103.4749712,19.97166738
101.2705915,19.60989325,108,101.2705915,19.60989325
102.5036529,19.57533551,109,102.5036529,19.57533551
102.9408988,20.72236162,110,102.9408988,20.72236162
102.0152662,19.40025531,111,102.0152662,19.40025531
101.0165679,19.93325598,112,101.0165679,19.93325598
102.2495394,20.85551715,113,102.2495394,20.85551715
101.0257395,20.82576858,114,101.0257395,20.82576858
100.8451298,20.9872715,115,100.8451298,20.9872715
101.7674291,19.42406315,116,101.7674291,19.42406315
100.6564891,21.03327265,117,100.6564891,21.03327265
101.8555523,19.82861177,118,101.8555523,19.82861177
101.2351014,19.69652268,119,101.2351014,19.69652268
101.841347,20.54780711,120,101.841347,20.54780711
101.7306908,20.43117659,121,101.7306908,20.43117659
101.7512304,18.76843195,122,101.7512304,18.76843195
102.7221094,20.98629545,123,102.7221094,20.98629545
102.5330144,20.29191561,124,102.5330144,20.29191561
101.3328735,20.32944534,125,101.3328735,20.32944534
102.035283,20.7593248,126,102.035283,20.7593248
101.4489809,19.56541507,127,101.4489809,19.56541507
104.9166876,20.07818444,128,104.9166876,20.07818444
102.7793983,19.68779419,129,102.7793983,19.68779419
102.4959809,19.69680925,130,102.4959809,19.69680925
101.1129682,17.499573,131,101.1129682,17.499573
101.4836387,20.95017696,132,101.4836387,20.95017696
102.6133089,19.28169624,133,102.6133089,19.28169624
104.4105509,19.97652242,134,104.4105509,19.97652242
102.411399,20.0439155,135,102.411399,20.0439155
102.3981799,20.40959533,136,102.3981799,20.40959533
101.5969196,19.86667199,137,101.5969196,19.86667199
104.0647967,20.85199991,138,104.0647967,20.85199991
101.3983306,19.04860928,139,101.3983306,19.04860928
104.1107553,20.25157296,140,104.1107553,20.25157296
100.8918031,20.39882091,141,100.8918031,20.39882091
101.5886863,19.9647154,142,101.5886863,19.9647154
104.4972144,19.63472557,143,104.4972144,19.63472557
102.4459216,19.49453202,144,102.4459216,19.49453202
104.5708581,20.02967944,145,104.5708581,20.02967944
101.0683251,20.05243725,146,101.0683251,20.05243725
100.7442818,20.62807717,147,100.7442818,20.62807717
102.175673,20.24636706,148,102.175673,20.24636706
101.4275781,19.98812117,149,101.4275781,19.98812117
103.203664,20.14293974,150,103.203664,20.14293974
101.9208334,21.1326353,151,101.9208334,21.1326353
103.3029712,20.21638597,152,103.3029712,20.21638597
101.8816238,19.76447601,153,101.8816238,19.76447601
102.8312748,21.01798766,154,102.8312748,21.01798766
101.7876931,19.85747161,155,101.7876931,19.85747161
101.0148958,21.26706101,156,101.0148958,21.26706101
102.680596,20.49468324,157,102.680596,20.49468324
101.6566977,21.18910046,158,101.6566977,21.18910046
104.0181983,19.93058992,159,104.0181983,19.93058992
100.4998488,20.18522413,160,100.4998488,20.18522413
101.5043314,19.0080911,161,101.5043314,19.0080911
