LON,LAT,PLOTID,ERPD_LON,ERPD_LAT
102.6063226,20.90836387,500,102.6063226,20.90836387
100.5621085,20.66840744,501,100.5621085,20.66840744
103.1688334,20.12511699,502,103.1688334,20.12511699
101.528984,19.66812305,503,101.528984,19.66812305
104.1272457,20.23362623,504,104.1272457,20.23362623
102.4134119,19.63765875,505,102.4134119,19.63765875
101.7370431,20.57741456,506,101.7370431,20.57741456
101.5005408,19.71337868,507,101.5005408,19.71337868
101.7962875,19.08927896,508,101.7962875,19.08927896
101.4761238,18.86992317,509,101.4761238,18.86992317
103.8612629,20.73260614,510,103.8612629,20.73260614
100.8085543,20.91384688,511,100.8085543,20.91384688
101.2532794,18.02460698,512,101.2532794,18.02460698
101.268916,18.61801455,513,101.268916,18.61801455
104.2465001,20.36435784,514,104.2465001,20.36435784
102.9488995,20.50965619,515,102.9488995,20.50965619
103.374366,20.55902755,516,103.374366,20.55902755
100.6534167,20.56197181,517,100.6534167,20.56197181
102.1564746,20.73929786,518,102.1564746,20.73929786
100.8448065,19.93077323,519,100.8448065,19.93077323
101.6853632,20.87646998,520,101.6853632,20.87646998
102.2907202,20.87682153,521,102.2907202,20.87682153
104.0647976,20.67140116,522,104.0647976,20.67140116
101.6050939,18.99404336,523,101.6050939,18.99404336
100.2504378,20.43502765,524,100.2504378,20.43502765
101.8395911,20.41182816,525,101.8395911,20.41182816
100.9222195,20.75924337,526,100.9222195,20.75924337
103.7733069,20.43308868,527,103.7733069,20.43308868
102.6501329,19.63665644,528,102.6501329,19.63665644
101.4284547,20.85943888,529,101.4284547,20.85943888
102.5433099,19.88613029,530,102.5433099,19.88613029
102.2317351,20.30724364,531,102.2317351,20.30724364
101.9370184,19.64654091,532,101.9370184,19.64654091
100.4568784,20.40856815,533,100.4568784,20.40856815
101.7574871,19.17435966,534,101.7574871,19.17435966
102.6174565,19.33601172,535,102.6174565,19.33601172
101.8333629,20.58319083,536,101.8333629,20.58319083
104.8216569,19.98154921,537,104.8216569,19.98154921
103.8913511,20.57230951,538,103.8913511,20.57230951
101.6246924,18.67910741,539,101.6246924,18.67910741
100.3558918,20.44094792,540,100.3558918,20.44094792
102.5176803,19.42011808,541,102.5176803,19.42011808
101.3736503,18.16630679,542,101.3736503,18.16630679
101.4999,20.89531285,543,101.4999,20.89531285
103.762145,20.25783718,544,103.762145,20.25783718
100.5482395,19.99658337,545,100.5482395,19.99658337
100.8631721,20.21627218,546,100.8631721,20.21627218
101.2101954,17.97661416,547,101.2101954,17.97661416
102.9838805,20.15814314,548,102.9838805,20.15814314
101.1543127,20.5238237,549,101.1543127,20.5238237
102.2308087,20.98387796,550,102.2308087,20.98387796
101.1071286,18.37664541,551,101.1071286,18.37664541
103.2823239,19.98340652,552,103.2823239,19.98340652
103.9215964,20.6370671,553,103.9215964,20.6370671
101.2303892,19.6832052,554,101.2303892,19.6832052
102.3336296,20.22698161,555,102.3336296,20.22698161
100.9467222,20.57449529,556,100.9467222,20.57449529
103.1549599,20.09200711,557,103.1549599,20.09200711
104.3753226,20.58116667,558,104.3753226,20.58116667
101.221585,20.75497781,559,101.221585,20.75497781
102.8077365,20.66311217,560,102.8077365,20.66311217
101.7294251,19.3839713,561,101.7294251,19.3839713
102.0140628,19.5185389,562,102.0140628,19.5185389
103.3883654,20.735097,563,103.3883654,20.735097
100.8712548,21.07390079,564,100.8712548,21.07390079
102.1099101,19.93764312,565,102.1099101,19.93764312
101.3188266,18.13448206,566,101.3188266,18.13448206
104.5948313,20.27117315,567,104.5948313,20.27117315
104.0663457,20.88556309,568,104.0663457,20.88556309
101.1370874,17.85454026,569,101.1370874,17.85454026
101.5239443,18.32974241,570,101.5239443,18.32974241
101.6088378,19.30276495,571,101.6088378,19.30276495
102.3879089,20.41856766,572,102.3879089,20.41856766
100.7525843,20.38641679,573,100.7525843,20.38641679
100.5741588,20.64077713,574,100.5741588,20.64077713
102.3960174,20.30072466,575,102.3960174,20.30072466
100.6000078,20.58801738,576,100.6000078,20.58801738
100.9047293,19.89095168,577,100.9047293,19.89095168
104.0806809,20.34835479,578,104.0806809,20.34835479
102.2395419,19.8130834,579,102.2395419,19.8130834
103.9760682,20.56829913,580,103.9760682,20.56829913
103.8910497,20.63928308,581,103.8910497,20.63928308
102.4448266,20.72975788,582,102.4448266,20.72975788
101.4707331,21.18257695,583,101.4707331,21.18257695
101.5215285,20.84785052,584,101.5215285,20.84785052
104.3873417,20.39769561,585,104.3873417,20.39769561
101.7431069,19.43167327,586,101.7431069,19.43167327
103.0110048,20.17278783,587,103.0110048,20.17278783
101.486697,20.15891041,588,101.486697,20.15891041
104.5434139,20.1314984,589,104.5434139,20.1314984
103.4771002,20.2559074,590,103.4771002,20.2559074
101.8001154,19.98567076,591,101.8001154,19.98567076
101.2678488,18.11284006,592,101.2678488,18.11284006
102.7290955,20.06746785,593,102.7290955,20.06746785
102.8062453,20.11065472,594,102.8062453,20.11065472
101.2380842,18.16110089,595,101.2380842,18.16110089
104.3340066,20.00946691,596,104.3340066,20.00946691
101.6733485,20.65509536,597,101.6733485,20.65509536
102.5789228,20.70350513,598,102.5789228,20.70350513
102.0827066,20.33442966,599,102.0827066,20.33442966
103.8043368,20.79055864,600,103.8043368,20.79055864
102.6218116,20.24955947,601,102.6218116,20.24955947
100.4441425,19.70037376,602,100.4441425,19.70037376
101.2093938,20.27071237,603,101.2093938,20.27071237
101.3474805,17.71605253,604,101.3474805,17.71605253
102.1073262,21.03598649,605,102.1073262,21.03598649
101.3044935,18.86699215,606,101.3044935,18.86699215
104.2004561,20.52144984,607,104.2004561,20.52144984
102.5087184,19.33033184,608,102.5087184,19.33033184
103.0397352,20.35008083,609,103.0397352,20.35008083
101.5233686,19.44849898,610,101.5233686,19.44849898
103.1940292,20.17649689,611,103.1940292,20.17649689
101.1087486,20.04309529,612,101.1087486,20.04309529
101.3300572,18.66776844,613,101.3300572,18.66776844
101.2478824,19.42294693,614,101.2478824,19.42294693
101.5721185,20.06634308,615,101.5721185,20.06634308
102.1677449,20.59711478,616,102.1677449,20.59711478
101.189141,20.73349861,617,101.189141,20.73349861
102.1212994,20.11807243,618,102.1212994,20.11807243
101.2095255,18.51727487,619,101.2095255,18.51727487
102.5888202,20.35925613,620,102.5888202,20.35925613
104.3968633,20.09402806,621,104.3968633,20.09402806
101.9691957,20.59749673,622,101.9691957,20.59749673
101.0958102,21.20789708,623,101.0958102,21.20789708
101.0861625,20.35260161,624,101.0861625,20.35260161
100.8592972,20.54213904,625,100.8592972,20.54213904
101.2514788,20.04454107,626,101.2514788,20.04454107
101.0935163,20.06059391,627,101.0935163,20.06059391
102.8608429,20.77047822,628,102.8608429,20.77047822
104.2378312,20.17610217,629,104.2378312,20.17610217
