LON,LAT,PLOTID,OldPlotId
105.9317188,16.17897268,1,139377976
105.2342669,16.89070788,2,140738389
105.7692136,16.84031239,3,139377986
104.8475421,16.72658567,4,140738401
106.5935975,16.20538315,5,140738335
106.7350822,16.39753279,6,139378025
106.1200956,16.63522701,7,139378029
106.5089762,16.19056094,8,140738328
105.8794369,16.99554127,9,139377985
105.8357788,16.69370734,10,139377974
106.070778,16.94272033,11,139377989
106.543741,16.8397734,12,139377972
106.4849912,16.22882918,13,140738343
105.700223,16.7252382,14,140738344
105.773256,16.66460192,15,140738393
106.5211035,16.52473423,16,140738376
106.1411161,16.96185445,17,139430129
105.5202006,16.92035228,18,139378041
106.1068903,16.87049578,19,139378038
105.6940246,16.74598928,20,139378040
105.6118288,16.67726817,21,140738411
106.2966145,16.56812286,22,140738345
106.6391421,16.31479795,23,140738339
104.8036145,16.84947521,24,139430122
106.3187131,16.72658567,25,139430128
106.2882602,16.42744668,26,140738357
106.6345607,16.54764127,27,140742371
105.2334584,16.98368351,28,139377990
105.7371437,16.41531943,29,140738403
105.3447596,16.72928062,30,139377975
106.6132706,16.32665571,31,139378037
105.6137152,16.92628116,32,139378023
106.3831223,16.81875282,33,139377979
105.9527394,16.68319705,34,140742375
106.1478535,16.84543279,35,139378034
106.6240504,16.35279668,36,140738341
105.8357788,16.40723459,37,140738394
105.2003105,16.3021317,38,140742380
106.348088,16.36734939,39,140738348
106.1421941,16.85217015,40,139378033
106.4313618,16.30320968,41,139377988
106.2251984,17.01817882,42,139377991
105.9473495,16.06605445,43,140738347
106.1179396,16.56300246,44,139378036
105.8026309,17.04566726,45,139377987
105.6538699,15.9439734,46,140738396
106.5472445,16.43041113,47,140742377
106.1351873,16.55734308,48,139378024
