"LON","LAT","PLOTID","plot_id","strata_coded_year","O_LC","O_Change","O_Ch_type","O_deg_driver","O_def_type","O_yrChange","Confidence","FINAL"
106.5089762,16.19056094,195,140738328,2015,"forest","no","forest","","",NA,"high","stable forest"
106.5935975,16.20538315,202,140738335,2015,"forest","no","forest","","",NA,"high","stable forest"
106.6391421,16.31479795,206,140738339,2017,"forest","no","forest","","",NA,"high","stable forest"
106.6240504,16.35279668,208,140738341,2016,"forest","no","forest","","",NA,"high","stable forest"
106.4849912,16.22882918,210,140738343,2017,"forest","no","forest","","",NA,"high","stable forest"
105.700223,16.7252382,211,140738344,2016,"forest","no","forest","","",NA,"high","stable forest"
106.2966145,16.56812286,212,140738345,2016,"forest","no","forest","","",NA,"medium","stable forest"
105.9473495,16.06605445,214,140738347,2015,"forest","no","forest","","",NA,"high","stable forest"
106.348088,16.36734939,215,140738348,2015,"forest","no","forest","","",NA,"medium","stable forest"
106.2882602,16.42744668,224,140738357,2015,"forest","no","forest","","",NA,"high","stable forest"
