"","total","SE"
"Driver.of.degradation.",75261978.8252462,1768844.51128973
"Driver.of.degradation.agriculture (edge)",769424.688565938,384352.495320335
"Driver.of.degradation.fire (human caused)",602361.490391545,347260.791178382
"Driver.of.degradation.fuelwood",1766615.71282729,584775.343761771
"Driver.of.degradation.other",187297.577348066,187297.077347398
"Driver.of.degradation.plantation",622595.869565217,356821.621238853
"Driver.of.degradation.selective logging",11703245.3618785,1414231.44479374
"Driver.of.degradation.shifting agriculture",5527613.47417728,1009549.89526346
