"","total","SE"
"Driver.of.degradation.",8083225.32440859,451833.773576145
"Driver.of.degradation.agriculture (edge)",537288.186360607,372920.186046045
"Driver.of.degradation.fire (human caused)",60952.4742729306,30372.5689884393
"Driver.of.degradation.fuelwood",76932.9088961873,40841.1353622346
"Driver.of.degradation.other",108151.462087677,50992.0847875358
"Driver.of.degradation.selective logging",641485.61197582,99989.1818643918
"Driver.of.degradation.shifting agriculture",887764.913429959,379445.211588318
"Driver.of.degradation.windthrow",15238.1185682327,15237.6185600293
