"","total","SE"
"Change.type.",47593300.7456161,2069973.39322061
"Change.type.forest degradation",21179154.1747538,1768844.51128973
"Change.type.forest loss",7648589.96252702,1171980.26812104
"Change.type.forest restoration",15924963.9594043,1607634.58726334
"Change.type.other",374595.154696133,264510.94543315
"Change.type.reforestation",3720529.00300264,837939.355120012
