"","total","SE"
"Driver.of.degradation.",75359926.8376288,1793304.45299154
"Driver.of.degradation.agriculture (edge)",750352.472178683,374365.798734943
"Driver.of.degradation.fire (human caused)",510588.736089342,297930.193037237
"Driver.of.degradation.fuelwood",1896562.9846283,619837.849241961
"Driver.of.degradation.other",243320.685714286,243320.185713772
"Driver.of.degradation.plantation",618496.921803627,360042.640468098
"Driver.of.degradation.selective logging",11699697.8820514,1412133.96817196
"Driver.of.degradation.shifting agriculture",5128570.47990558,936439.039713055
