"","total","SE"
"Change.type.",5163598.86893712,381420.634878966
"Change.type.forest degradation",2327813.67559141,451833.773576145
"Change.type.forest loss",1172588.37378028,502606.076231356
"Change.type.forest restoration",1408830.20896997,390089.757192693
"Change.type.other",92913.343519444,48683.5708268583
"Change.type.reforestation",245294.529201771,68001.9339023646
