"","total","SE"
"Driver.of.degradation.",77807173.7087624,1658199.37354654
"Driver.of.degradation.agriculture (edge)",1906066.62450854,599689.275473537
"Driver.of.degradation.fire (human caused)",767176.551280476,383590.872039339
"Driver.of.degradation.fuelwood",758541.139900744,378521.230816984
"Driver.of.degradation.other",955550.345955335,426517.004183273
"Driver.of.degradation.selective logging",7789855.60849187,1181919.69492404
"Driver.of.degradation.shifting agriculture",6251161.16263908,1008537.62264413
"Driver.of.degradation.windthrow",192815.858461538,192815.358460891
