"","total","SE"
"Change.type.",56414397.1964351,1891738.71936635
"Change.type.forest degradation",18621167.2912376,1658199.37354654
"Change.type.forest loss",5829276.31897257,959621.974175583
"Change.type.forest restoration",12092732.1683594,1426631.82597322
"Change.type.other",788534.256605617,392405.081272681
"Change.type.reforestation",2682233.76838975,702938.130252738
