"","total","SE"
"Change.type.",48489223.8986304,2124271.20885604
"Change.type.forest degradation",20847590.1623712,1793304.45299154
"Change.type.forest loss",7572031.40564823,1146612.99379221
"Change.type.forest restoration",15665718.4747033,1576007.68840686
"Change.type.other",283484.333333333,200652.758512339
"Change.type.reforestation",3349468.72531348,746797.79339607
