"","total","SE"
"Change.type.",48373631.7399796,2046286.33166232
"Change.type.forest degradation",20654047.0392311,1749680.05607475
"Change.type.forest loss",7217050.59949279,1064126.71982491
"Change.type.forest restoration",16181319.3389775,1627746.85823051
"Change.type.other",373153.612745098,265973.505339233
"Change.type.reforestation",3629138.66957382,825013.606543309
