"","total","SE"
"Driver.of.degradation.",77688845.5900266,1704544.95288073
"Driver.of.degradation.agriculture (edge)",1945021.21088694,607733.368372275
"Driver.of.degradation.fire (human caused)",780579.68290826,388735.607643204
"Driver.of.degradation.fuelwood",767723.690140845,382503.642782094
"Driver.of.degradation.other",972510.605443472,433135.031907478
"Driver.of.degradation.selective logging",7722232.8760944,1173407.69817463
"Driver.of.degradation.shifting agriculture",6372288.42196422,1074088.90708869
"Driver.of.degradation.windthrow",191930.922535211,191930.422534561
