"","total","SE"
"Change.type.",56198101.2934907,2077737.19339976
"Change.type.forest degradation",18752287.4099734,1704544.95288073
"Change.type.forest loss",5790067.65797488,1027072.13195804
"Change.type.forest restoration",12200924.0582413,1427366.28197951
"Change.type.other",767723.690140845,382503.642782098
"Change.type.reforestation",2732028.89017891,712043.253526313
