"","total","SE"
"Driver.of.degradation.",75774293.9607688,1749680.05607475
"Driver.of.degradation.agriculture (edge)",739856.042030061,371904.969018731
"Driver.of.degradation.fire (human caused)",569474.625363395,330580.775631161
"Driver.of.degradation.fuelwood",1737295.5742562,576706.307391629
"Driver.of.degradation.other",170381.416666667,170380.916665933
"Driver.of.degradation.plantation",511144.25,291531.200538038
"Driver.of.degradation.selective logging",11679188.6021371,1405466.30291895
"Driver.of.degradation.shifting agriculture",5246706.52877776,945671.442386538
