,total,SE,,,
Change.type.1 stable,48698588.08,2144829.21,," 5,411 ", 238 
Change.type.2 degradation,20707551.7,1777216.227,," 2,301 ", 197 
Change.type.3 deforestation,7495224.412,1149130.964,, 833 , 128 
Change.type.4 restoration,15661474.15,1589704.256,," 1,740 ", 177 
Change.type.5 reforestation,3542163.371,800815.6255,, 394 , 89 
Change.type.6 other,324452.289,233454.3208,, 36 , 26 
